OBJECTID,ZONE_ORIG,ZONE_GZT,ZONE_DESC,ZONE_LINK,COLOUR
278,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
425,Zone Z14: Strategic Development and Regeneration Areas,R4.6,"To seek the social, economic and physical development and/or rejuvenation of an area with mixed use, of which residential and Z6 would be the predominant uses.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue4,Null,6"
480,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
508,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
516,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
521,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
522,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
523,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
524,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
525,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
545,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
595,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
606,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
611,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
629,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
630,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
638,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
639,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
657,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
669,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
670,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
671,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
672,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
874,Zone Z4: District Centres,M5,To provide for and improve mixed services facilities.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink2,Yes,No"
882,Zone Z4: District Centres,M5,To provide for and improve mixed services facilities.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink2,Yes,No"
1409,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1411,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1412,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1413,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1469,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1491,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1492,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1503,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1535,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1964,Zone Z2: Residential Neighbourhoods (Conservation Areas),O2,To protect and/or improve the amenities of residential conservation areas.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Yellow3,Yes,No"
1993,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
1994,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
1995,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
1996,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
1998,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
1999,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2000,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2001,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2002,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2003,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2004,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2005,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2006,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2007,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2008,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2012,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2013,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2014,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2015,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2017,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2018,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2020,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2021,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2023,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2025,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2026,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2028,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2029,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2030,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2031,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2033,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2035,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2036,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2039,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2041,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2042,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2043,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2044,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2045,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2046,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2047,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2051,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2052,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2058,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2059,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2060,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2061,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2076,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2084,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2087,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2088,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2105,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2106,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2107,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2108,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2109,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
2110,Zone Z5: City Centre,M2,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue2,Yes,No"
